population,condition,training_seed,ensemble_seed,scenario,episode_seed,window_first_step,window_last_step,n_rows_in_window,uncertainty_norm_landmark_median,uncertainty_ratio_landmark_median,unsafe_episode,safety_infeasible,operational_failure
safety,A6c_gate_off_control,0,0,motor_fault,50068,0,24,25,3.8132808563957505,0.908556410443684,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50069,0,24,25,6.998775335223059,1.6675357613397164,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50070,0,24,25,4.5543248667344205,1.085118355752498,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50071,0,24,25,5.215484157920387,1.242646881699885,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50072,0,24,25,7.377323119466431,1.7577289647741592,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50073,0,24,25,5.673475388579782,1.351768366377488,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50074,0,24,25,4.496137736538106,1.07125462734222,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50075,0,24,25,5.772919048182005,1.3754619199897378,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50076,0,24,25,7.157289841040191,1.7053035984941483,True,True,True
safety,A6c_gate_off_control,0,0,motor_fault,50077,0,24,25,3.5178387266403517,0.8381640498982522,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50078,0,24,25,5.976454147689932,1.4239564123631652,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50079,0,24,25,6.790446607678606,1.6178991339791522,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50080,0,24,25,6.414155553885551,1.528243621576263,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50081,0,24,25,4.0653839933534375,0.9686227758129431,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50082,0,24,25,3.9422562957589284,0.9392862377593577,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50083,0,24,25,4.755772342546077,1.1331154486520159,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50084,0,24,25,6.464058866218853,1.540133638606283,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50085,0,24,25,6.484894132471596,1.5450978716198258,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50086,0,24,25,8.491081737890182,2.023094294673369,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50087,0,24,25,4.864844356528377,1.159103064365506,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50088,0,24,25,5.538765061380599,1.319672138499464,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50089,0,24,25,3.6417069997535165,0.8676770382738127,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50090,0,24,25,7.351911685767151,1.7516744091682372,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50091,0,24,25,7.937273992042495,1.8911434637243822,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50092,0,24,25,4.9106113943452545,1.1700075681672126,True,False,True
