scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
id_reference,P0_inloop_reference_train_seed_30,650054,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,57,0.228,-311.58296151003253,-5.684341886080802e-14,True,False,250,57,0.228,1.9288671650296174,25.40646951043016,False,False
id_reference,P0_inloop_reference_train_seed_30,650055,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,45,0.18,-231.48046163712056,-5.684341886080802e-14,True,False,250,45,0.18,2.324438788516694,21.989659104795415,False,False
id_reference,P0_inloop_reference_train_seed_30,650056,77,78,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,78,77,0.9871794871794872,-247.62632742627437,-7.105427357601002e-14,True,True,77,76,0.9743589743589743,15.017747323453836,24.339020726313713,False,False
id_reference,P0_inloop_reference_train_seed_30,650057,108,109,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,108,30,0.2777777777777778,-334.9769649202036,-2.842170943040401e-14,True,False,108,30,0.2777777777777778,3.2389963831451536,27.21750929269657,False,True
id_reference,P0_inloop_reference_train_seed_30,650058,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,15,0.06,-404.2416118962002,-1.4210854715202004e-14,True,False,250,15,0.06,0.8191288035452534,29.775698668413515,False,False
id_reference,P0_inloop_reference_train_seed_30,650059,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,37,0.148,-177.02695152039004,-2.1316282072803006e-14,True,False,250,37,0.148,1.302798344225653,14.515489330512452,False,False
id_reference,P0_inloop_reference_train_seed_30,650060,72,73,2,0.0273972602739726,True,1,7,0.0,0.22109395635545326,0.0008329427084419225,0.03158485090792196,0.0012160963543252068,72,14,0.19444444444444445,-274.1041904104584,-1.4210854715202004e-14,True,False,72,14,0.19444444444444445,2.452435187138258,24.867063127332433,False,True
id_reference,P0_inloop_reference_train_seed_30,650061,59,60,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,59,20,0.3389830508474576,-267.4277653003472,-2.1316282072803006e-14,True,False,59,20,0.3389830508474576,4.881245551960074,22.76112597473687,False,True
id_reference,P0_inloop_reference_train_seed_30,650062,250,251,22,0.08764940239043825,True,2,55,0.11401355563002769,1.4840496362210622,0.0038073738518423876,0.21200709088872327,0.019113016736248788,250,192,0.768,-343.88224397862126,-7.105427357601002e-14,True,False,250,192,0.768,6.693994979749697,32.26220658358773,False,False
id_reference,P0_inloop_reference_train_seed_30,650063,67,68,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,67,18,0.26865671641791045,-380.7508596980214,-8.526512829121202e-14,True,False,67,18,0.26865671641791045,5.583347667123558,27.418301528054243,False,True
id_reference,P0_inloop_reference_train_seed_30,650064,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,31,0.124,-326.7308121289455,-1.7763568394002505e-14,True,False,250,31,0.124,1.6570832248882743,29.4696375994803,False,False
id_reference,P0_inloop_reference_train_seed_30,650065,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,45,0.18,-175.87022757939317,-1.4210854715202004e-14,True,False,250,45,0.18,1.2762766624392143,17.304132975505404,False,False
id_reference,P0_inloop_reference_train_seed_30,650066,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,249,0.996,-287.6415434056113,-2.842170943040401e-14,True,False,250,249,0.996,2.2647996273705875,23.2556882304756,False,False
id_reference,P0_inloop_reference_train_seed_30,650067,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,57,0.228,-405.12317849470224,-7.815970093361102e-14,True,False,250,57,0.228,3.7589199270919247,33.252672678229075,False,False
id_reference,P0_inloop_reference_train_seed_30,650068,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,15,0.06,-236.46773578888195,-2.842170943040401e-14,True,False,250,15,0.06,0.7381257652379904,22.206882030522674,False,False
id_reference,P0_inloop_reference_train_seed_30,650069,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,16,0.064,-136.36608816299483,-2.842170943040401e-14,True,False,250,16,0.064,0.34447555012495346,9.78363307816774,False,False
id_reference,P0_inloop_reference_train_seed_30,650070,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,9,0.036,-119.97930499744902,-1.4210854715202004e-14,True,False,250,9,0.036,0.21037752699520137,8.818879784226773,False,False
id_reference,P0_inloop_reference_train_seed_30,650071,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,10,0.04,-21.862082661210593,-3.552713678800501e-14,True,False,250,10,0.04,0.08861969852827116,5.121488027609219,False,False
id_reference,P0_inloop_reference_train_seed_30,650072,141,142,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,141,10,0.07092198581560284,-378.53138518108426,-8.526512829121202e-14,True,False,141,10,0.07092198581560284,1.1693155970342188,27.986712528944985,False,True
id_reference,P0_inloop_reference_train_seed_30,650073,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,49,0.196,-291.38202868171527,-4.263256414560601e-14,True,False,250,49,0.196,1.1651657804222715,22.2270378320733,False,False
id_reference,P0_inloop_reference_train_seed_30,650074,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,161,0.644,-344.06042690311176,-1.4210854715202004e-14,True,False,250,161,0.644,1.798342973521447,29.697646137156447,False,False
id_reference,P0_inloop_reference_train_seed_30,650075,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,3,0.012,-37.292678398840195,0.0,True,False,250,3,0.012,0.0254342221730912,2.7202662511181983,False,False
id_reference,P0_inloop_reference_train_seed_30,650076,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,38,0.152,-244.74545952010928,-2.842170943040401e-14,True,False,250,38,0.152,1.5127167511962294,17.61231988137284,False,False
id_reference,P0_inloop_reference_train_seed_30,650077,63,64,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,63,35,0.5555555555555556,-333.9284941027598,-4.263256414560601e-14,True,False,63,35,0.5555555555555556,5.246724198369313,24.472524218988408,False,True
id_reference,P0_inloop_reference_train_seed_30,650078,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,38,0.152,-129.12751899569656,-1.4210854715202004e-14,True,False,250,38,0.152,0.7765917183283932,9.504032848685615,False,False
id_reference,P0_inloop_reference_train_seed_30,650079,70,71,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,70,23,0.32857142857142857,-103.8246943919484,-2.1316282072803006e-14,True,False,70,23,0.32857142857142857,1.0894098200258793,7.641774896335708,False,True
id_reference,P0_inloop_reference_train_seed_30,650080,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,42,0.168,-102.47662458624279,-4.973799150320701e-14,True,False,250,42,0.168,1.195310026138911,15.6248766249278,False,False
id_reference,P0_inloop_reference_train_seed_30,650081,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,11,0.044,-198.12688881306033,-1.4210854715202004e-14,True,False,250,11,0.044,0.433550013337219,18.501505324862336,False,False
id_reference,P0_inloop_reference_train_seed_30,650082,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,195,0.78,-138.7535804962272,-2.1316282072803006e-14,True,False,250,195,0.78,0.9113468281946931,9.890817255911111,False,False
id_reference,P0_inloop_reference_train_seed_30,650083,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,14,0.056,-45.09735614578765,-1.0658141036401503e-14,True,False,250,14,0.056,0.1288499321811989,4.10368979091033,False,False
id_reference,P0_inloop_reference_train_seed_30,650084,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,52,0.208,-362.9095191962157,-2.4868995751603507e-14,True,False,250,52,0.208,3.8380117198514423,26.88570582748995,False,False
id_reference,P0_inloop_reference_train_seed_30,650085,118,119,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,118,37,0.3135593220338983,-247.30817642133422,-1.7763568394002505e-14,True,False,118,37,0.3135593220338983,4.435419513362845,22.699625269807918,False,True
id_reference,P0_inloop_reference_train_seed_30,650086,166,167,4,0.023952095808383235,True,1,79,0.0,1.0569445466166751,0.002491748220470858,0.15099207808809645,0.008322439056372666,166,96,0.5783132530120482,-228.39451099871633,-1.2789769243681803e-13,True,False,166,96,0.5783132530120482,7.55918334234643,18.82285443672572,False,True
id_reference,P0_inloop_reference_train_seed_30,650087,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,16,0.064,-210.29035391450117,-1.4210854715202004e-14,True,False,250,16,0.064,0.7025832749019468,20.096017313442417,False,False
id_reference,P0_inloop_reference_train_seed_30,650088,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,17,0.068,-333.2417831622404,-7.105427357601002e-15,True,False,250,17,0.068,0.8010187643864838,26.226919371796235,False,False
id_reference,P0_inloop_reference_train_seed_30,650089,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,29,0.116,-339.8642503252986,-2.842170943040401e-14,True,False,250,29,0.116,1.4406465738321867,28.876862583099935,False,False
id_reference,P0_inloop_reference_train_seed_30,650090,250,251,6,0.02390438247011952,True,1,7,0.0,0.4364618914354743,0.0010101911343625395,0.06235169877649627,0.005071159494499948,250,29,0.116,-438.59250704701986,-2.3092638912203256e-14,True,False,250,29,0.116,2.2704991908311194,38.17161661349883,False,False
id_reference,P0_inloop_reference_train_seed_30,650091,56,57,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,56,2,0.03571428571428571,-17.664594721032145,-3.552713678800501e-14,True,False,56,2,0.03571428571428571,0.03270169720018976,1.2369461353031754,False,True
id_reference,P0_inloop_reference_train_seed_30,650092,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,12,0.048,-159.61290762455639,-3.552713678800501e-14,True,False,250,12,0.048,0.2835687668088358,11.208059904505708,False,False
id_reference,P0_inloop_reference_train_seed_30,650093,100,101,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,101,99,0.9801980198019802,-260.26326096521956,-6.394884621840902e-14,True,True,100,98,0.9702970297029703,17.157048444279315,23.20147971128542,False,False
id_reference,P0_inloop_reference_train_seed_30,650094,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,31,0.124,-238.13720290076225,-2.842170943040401e-14,True,False,250,31,0.124,0.9570631405180386,21.958219759048635,False,False
id_reference,P0_inloop_reference_train_seed_30,650095,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,236,0.944,-356.6810229406824,-2.842170943040401e-14,True,False,250,236,0.944,4.374272745109492,29.129967114266947,False,False
id_reference,P0_inloop_reference_train_seed_30,650096,250,251,0,0.0,False,0,-1,0.0,0.0,0.0,0.0,0.0,250,239,0.956,-425.7093989072873,-1.4210854715202004e-14,True,False,250,239,0.956,3.420465332818181,30.82790510572254,False,False
