arm,scenario,seed,origin,outcome,steps,final_distance,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,prediction_error_rms_joint1,prediction_error_rms_joint2
adaptive,id_reference,50030,official,success,71,0.04000398781306694,True,True,0.35410532983828324,False,0.0,1,1,53,0.33454921979963304,0.018502396432295985
adaptive_hocbf,id_reference,50030,official,success,73,0.04373031627276301,True,False,0.0,False,0.3287671232876712,1,1,34,0.313199080917517,0.04689085190910867
fixed,id_reference,50031,official,timeout,250,0.11570304375253138,False,True,1.0382800946012747,False,0.0,1,,,,
fixed_hocbf,id_reference,50031,official,timeout,250,0.11570304659799763,False,False,0.0,False,0.108,1,,,,
adaptive,id_reference,50031,official,success,64,0.036301083567642695,True,True,1.0382800946012747,False,0.0,1,1,42,0.2608891976694719,0.047850908638208074
adaptive_hocbf,id_reference,50031,official,success,57,0.04773017775619497,True,False,0.0,False,0.43859649122807015,1,1,33,0.2998706068912122,0.01986044411654998
fixed,id_reference,50032,official,timeout,250,0.3518848689958178,False,True,0.7737602027022727,False,0.0,2,,,,
fixed_hocbf,id_reference,50032,official,timeout,250,0.3518755538674402,False,False,0.0,False,0.092,2,,,,
adaptive,id_reference,50032,official,success,70,0.04579053449186197,True,True,0.7660687609596504,False,0.0,2,2,50,0.057815366504581134,0.02417579669330524
adaptive_hocbf,id_reference,50032,official,success,59,0.045791248035081146,True,False,0.0,False,0.2542372881355932,2,2,28,0.2690939760640235,0.033756283801018284
fixed,id_reference,50033,official,timeout,250,0.1953915774776229,False,False,0.0,False,0.0,0,,,,
fixed_hocbf,id_reference,50033,official,timeout,250,0.1953915774776229,False,False,0.0,False,0.0,0,,,,
adaptive,id_reference,50033,official,success,41,0.044038691653044595,True,False,0.0,False,0.0,0,0,5,0.43872462921728506,0.20478823290264525
adaptive_hocbf,id_reference,50033,official,success,41,0.044038691653044595,True,False,0.0,False,0.0,0,0,5,0.43872462921728506,0.20478823290264525
fixed,id_reference,50034,official,timeout,250,0.3500164398136548,False,False,0.0,False,0.0,2,,,,
fixed_hocbf,id_reference,50034,official,timeout,250,0.3500259396793175,False,False,0.0,False,0.036,2,,,,
adaptive,id_reference,50034,official,success,40,0.04585437362976997,True,True,0.024450513163722265,False,0.0,2,2,12,0.07982503261112527,0.019613670986101842
adaptive_hocbf,id_reference,50034,official,success,45,0.047825468720829975,True,False,0.0,False,0.26666666666666666,2,2,10,0.0792442156696775,0.018552534351573356
fixed,id_reference,50035,official,timeout,250,0.6815709552102996,False,False,0.0,False,0.0,0,,,,
fixed_hocbf,id_reference,50035,official,timeout,250,0.6815350003898539,False,False,0.0,False,0.06,0,,,,
