condition,training_seed,scenario,successes,episodes,success_rate,success_ci95_low,success_ci95_high,reward_mean,reward_std,final_distance_mean,fault_exposure_rate
A2,2,motor_fault,25,100,0.25,0.17545211362287672,0.34304463548061603,-144.450632435139,86.48812067212218,0.29945691745918335,1.0
A3,2,id_reference,63,100,0.63,0.5322052958094291,0.7181763946567546,-74.61703337807413,41.67207535900551,0.0674653025829739,0.0
A3,2,ood_compound,10,100,0.1,0.0552291370606751,0.17436566150491345,-212.3387098647633,97.084042171377,0.3733188557605372,0.0
A3,2,motor_fault,33,100,0.33,0.24563122734128034,0.4269465620490947,-133.3401259615978,86.66605915311037,0.27590502748492685,1.0
A4,2,id_reference,15,100,0.15,0.0930598528365663,0.23283559590832364,-140.22089355701243,64.03946287611842,0.27492055003348725,0.0
A4,2,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-316.55865527419985,78.60837280404843,0.8581522438754371,0.0
A4,2,motor_fault,4,100,0.04,0.01566330399154762,0.0983707143588792,-246.18003954816422,88.9729281093961,0.724736768726162,1.0
A5,2,id_reference,53,100,0.53,0.4328885697009936,0.6248918204065872,-109.13727316857215,71.00842799255246,0.15190643574651777,0.0
A5,2,ood_compound,3,100,0.03,0.010254524024038925,0.0845193642905276,-369.12433245032224,168.72679133877048,0.9673225303909965,0.0
A5,2,motor_fault,16,100,0.16,0.10095288488804782,0.24420269389270244,-201.17405961694394,122.58526520003481,0.49972900278481547,1.0
A6,2,id_reference,13,100,0.13,0.07757167427240512,0.20980351440076428,-145.57203650317598,71.79744278547899,0.32399827639974077,0.0
A6,2,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-384.70036052281466,157.8473211506854,1.1570103912156755,0.0
A6,2,motor_fault,3,100,0.03,0.010254524024038925,0.0845193642905276,-260.9542894241577,104.84385204620523,0.7801834591116886,1.0
A2,3,id_reference,53,100,0.53,0.4328885697009936,0.6248918204065872,-82.53763879725355,48.10997475877697,0.08831308379441878,0.0
A2,3,ood_compound,7,100,0.07,0.03431926106727268,0.137495147390735,-219.04405551204397,104.06728150402856,0.43233593229185663,0.0
A2,3,motor_fault,21,100,0.21,0.141656540619153,0.29979968834089865,-145.8109974727023,86.68326159425683,0.3083704802458824,1.0
A3,3,id_reference,70,100,0.7,0.6041514536665332,0.7810511470506724,-73.35232767987503,44.47201075630152,0.061460541951588385,0.0
A3,3,ood_compound,13,100,0.13,0.07757167427240512,0.20980351440076428,-205.82180565896314,91.98371886631183,0.3876662108243966,0.0
A3,3,motor_fault,33,100,0.33,0.24563122734128034,0.4269465620490947,-139.69055038311157,90.4065908060952,0.27250751183733507,1.0
A4,3,id_reference,13,100,0.13,0.07757167427240512,0.20980351440076428,-138.53850461213764,63.190975399082355,0.2668541972720992,0.0
A4,3,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-316.2804815633875,77.61917084507793,0.8529142898565419,0.0
A4,3,motor_fault,3,100,0.03,0.010254524024038925,0.0845193642905276,-246.75564659031616,88.83910543876875,0.7274128932047766,1.0
A5,3,id_reference,51,100,0.51,0.4134801193402717,0.6057800106955886,-108.56828134788265,72.89786749023854,0.15205840044842056,0.0
A5,3,ood_compound,4,100,0.04,0.01566330399154762,0.0983707143588792,-368.5388646823245,176.29069942962946,0.9336425257963649,0.0
A5,3,motor_fault,18,100,0.18,0.1170022549894635,0.2666735838630073,-208.63351952318834,130.98415443882712,0.54275774293912,1.0
A6,3,id_reference,14,100,0.14,0.08526343659939134,0.22137188210963837,-144.54728307450003,72.12996242005012,0.3206102064392877,0.0
A6,3,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-384.4785317933635,157.85672513759974,1.153078490530458,0.0
A6,3,motor_fault,3,100,0.03,0.010254524024038925,0.0845193642905276,-259.79419796123744,103.97289335863967,0.7693286569058121,1.0
A2,4,id_reference,39,100,0.39,0.3001687400639441,0.4879698295415926,-88.23574755905787,45.07866304722636,0.10076481915300685,0.0
A2,4,ood_compound,8,100,0.08,0.041093461484380624,0.14998107700948735,-220.96499247682507,90.66995352378161,0.43502163690921114,0.0
A2,4,motor_fault,23,100,0.23,0.15843265880303448,0.3215438302287378,-137.8841453955276,82.4915844964924,0.2713949085867781,1.0
A3,4,id_reference,40,100,0.4,0.3094012864324589,0.4979974132089382,-85.79456466803776,38.132335727757415,0.08933038670498879,0.0
A3,4,ood_compound,13,100,0.13,0.07757167427240512,0.20980351440076428,-202.6537659394023,84.87606130648291,0.37008837605923106,0.0
A3,4,motor_fault,31,100,0.31,0.22779697212376038,0.40626055719489407,-134.39204120592265,83.47182211887058,0.2549953778579678,1.0
A4,4,id_reference,13,100,0.13,0.07757167427240512,0.20980351440076428,-139.20544458332606,62.968233854901236,0.26928100377904135,0.0
A4,4,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-317.08298446801314,78.33206119097635,0.8494624811249077,0.0
A4,4,motor_fault,4,100,0.04,0.01566330399154762,0.0983707143588792,-245.26966550428924,89.32548890053643,0.7196029664505879,1.0
A5,4,id_reference,36,100,0.36,0.2727122040140433,0.4576459754839126,-112.8334306197051,70.4840809810322,0.15862297495867184,0.0
A5,4,ood_compound,2,100,0.02,0.00550196755016235,0.07001179072854388,-362.1293087431926,173.94806627048158,0.9906327978538685,0.0
A5,4,motor_fault,15,100,0.15,0.0930598528365663,0.23283559590832364,-199.6891671069739,126.86314607478893,0.5104779073724923,1.0
A6,4,id_reference,13,100,0.13,0.07757167427240512,0.20980351440076428,-146.25784400371543,71.66071192020001,0.3228832349996084,0.0
A6,4,ood_compound,0,100,0.0,3.469446951953614e-18,0.03699349820698568,-384.91335216156534,157.7126146040856,1.153144263659724,0.0
A6,4,motor_fault,3,100,0.03,0.010254524024038925,0.0845193642905276,-260.6860175158323,104.86811532024274,0.7723896372655177,1.0
