seed,target_x,target_y,success,steps,reward,distance
1069,0.3298463389028397,0.8602625972958736,1,38,-25.597954707036966,0.04846364613874274
1070,-0.7898876391206304,-0.5751049809168929,1,62,-76.84854315154286,0.04733207201747663
1071,-0.3362943521563651,1.1006325066020253,1,51,-49.75762343812934,0.04563140002820912
1072,-0.17035748997014216,1.3904323443525892,1,50,-46.37516879772779,0.047793408973044016
1073,0.7911149701058412,0.45460619417503906,1,46,-21.596849029211082,0.04808579641046412
1074,0.8997780888174013,0.033529835674645125,1,46,-20.756322796064886,0.0497693338793158
1075,-1.269336265178051,-0.9939704428330056,1,67,-127.74916348721825,0.04806958884322449
1076,0.1282368955799047,0.6713462569506055,1,38,-26.408065452081676,0.047371077599986045
1077,-1.1356653336993319,-1.1759516404774883,1,69,-121.56346276684219,0.0388925649992082
1078,1.321817658586988,-0.500346169196476,1,44,-11.158862986551412,0.0404373521982963
1079,1.1794353913256226,-0.3312577179293626,1,44,-14.159847976453602,0.04448946722032706
1080,-1.5362867789933463,-0.6846831539551297,1,70,-122.2292878528428,0.04901041694186796
1081,0.47341917638303993,1.1372074075240264,1,41,-24.792860215523714,0.04956303545090204
1082,0.496491518479917,-1.6423762737311223,1,51,-31.176848095955044,0.03894042060119698
1083,0.9228576571182542,-0.17627195793794598,1,46,-22.16953022628846,0.04907958643683488
1084,-0.2176559837152088,1.6869067461529377,1,54,-62.62820547333898,0.039311519815935496
1085,-1.078924149436052,-0.7662557163957073,1,63,-90.39255624008979,0.049239829891049136
1086,1.0860515792199505,-0.8075624176453319,1,44,-13.692974783502276,0.044593949277198196
1087,1.3948542170630545,0.08511170428318196,1,41,-7.973130361238933,0.04578794942035536
1088,-0.7829030423559125,0.920271706198034,1,51,-50.95954341766551,0.04977673577593174
1089,-0.18042263360181868,1.0187174047715961,1,47,-38.528202197120805,0.04843963219977138
1090,-1.4127540629522246,0.48443253980624323,1,55,-72.4389490089684,0.046336203090052736
1091,1.2707741743372765,0.41822012487221855,1,42,-11.389769389528627,0.04802657072990505
1092,-1.147304376509308,-0.9875018228402668,1,67,-103.17620207763582,0.048029707939474524
1093,0.4604528434649559,-1.639444619048104,1,54,-37.908691903663126,0.03561678389425014
1094,0.021046001369480153,-0.5945578410419975,1,54,-46.08572480666071,0.04336776479932228
1095,-0.5294391612023934,-0.6507836263846947,1,62,-73.33749358457825,0.04890528195422842
1096,0.13377049325296583,1.6854397234813667,1,51,-48.354467420875665,0.041352491628321414
1097,-0.7786743164517509,-0.27452113468429035,1,54,-61.855777202088284,0.04521954470379442
1098,-1.436746424386533,-0.48671867001549013,1,58,-91.49021646426273,0.04549801831152766
1099,0.2186309374880448,1.6358136853417515,1,46,-28.449411964134022,0.04541759077394665
