population,condition,training_seed,scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50026,250,251,5,0.019920318725099601,true,1,32,0,1.3716051955665272,0.0022010210066594842,0.19594359936664674,0.011049125453430611,250,249,0.996,-428.12742740191425,-9.9475983006414026e-14,true,false,250,249,0.996,9.3335459696850958,32.313681603272549,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50027,66,67,0,0,false,0,-1,0,0,0,0,0,66,27,0.40909090909090912,-121.5474685069434,-3.5527136788005009e-14,true,false,66,27,0.40909090909090912,2.9547798390625331,10.320051975186095,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50028,85,86,0,0,false,0,-1,0,0,0,0,0,85,25,0.29411764705882354,-439.28102920548105,-7.815970093361102e-14,true,false,85,25,0.29411764705882354,5.8233438198032035,31.318609083191813,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50029,250,251,0,0,false,0,-1,0,0,0,0,0,250,79,0.316,-418.69665286931894,-1.4210854715202004e-14,true,false,250,79,0.316,6.1557248885732241,34.129130015430484,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50030,250,251,0,0,false,0,-1,0,0,0,0,0,250,214,0.85599999999999998,-423.94454229194309,-4.2632564145606011e-14,true,false,250,214,0.85599999999999998,4.5054810468853264,29.595316908455434,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50031,86,87,0,0,false,0,-1,0,0,0,0,0,86,52,0.60465116279069764,-414.67921982036404,-4.2632564145606011e-14,true,false,86,52,0.60465116279069764,5.3549459589237296,29.200439505131641,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50032,250,251,0,0,false,0,-1,0,0,0,0,0,250,37,0.14799999999999999,-453.95347333399297,-2.1316282072803006e-14,true,false,250,37,0.14799999999999999,2.6494436080072545,33.216006832590303,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50033,250,251,0,0,false,0,-1,0,0,0,0,0,250,11,0.043999999999999997,-90.292457330193471,-2.1316282072803006e-14,true,false,250,11,0.043999999999999997,0.17955086456094096,6.7283102001214017,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50034,237,238,1,0.0042016806722689074,true,1,102,0,0.22305417968010399,0.00013388606223295544,0.031864882811443396,0.0006372976562288679,237,182,0.76793248945147674,-411.84153174055876,-5.6843418860808015e-14,true,false,237,182,0.76793248945147674,8.3027199013913062,39.383088842527414,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50035,250,251,0,0,false,0,-1,0,0,0,0,0,250,250,1,-122.02509699061952,-4.2632564145606011e-14,true,false,250,250,1,6.179341811164786,9.156826025847403,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50036,250,251,0,0,false,0,-1,0,0,0,0,0,250,176,0.70399999999999996,-393.46017424573466,-4.9737991503207013e-14,true,false,250,176,0.70399999999999996,9.0598577252691097,37.44315451707908,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50037,250,251,0,0,false,0,-1,0,0,0,0,0,250,201,0.80400000000000005,-345.2894532454207,-6.3948846218409017e-14,true,false,250,201,0.80400000000000005,11.451220796503884,30.954784713739762,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50038,250,251,0,0,false,0,-1,0,0,0,0,0,250,235,0.93999999999999995,-349.71997761755784,-2.8421709430404007e-14,true,false,250,235,0.93999999999999995,5.4614381040060609,26.82380206388947,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50039,220,221,0,0,false,0,-1,0,0,0,0,0,220,149,0.67727272727272725,-393.91432863500262,-5.6843418860808015e-14,true,false,220,149,0.67727272727272725,9.6005846920478692,37.350959107334255,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50040,250,251,0,0,false,0,-1,0,0,0,0,0,250,62,0.248,-385.45152269549487,-4.2632564145606011e-14,true,false,250,62,0.248,1.5059633710923563,26.829664832135258,true,false
