population,condition,training_seed,scenario,controller,seed,reward,steps,success,final_distance,max_speed,max_command_torque,fault_seen
safety,A6c,3,ood_compound,A6c_train_seed_3,50080,-226.68186778429572,250,false,0.29524598608133279,7.7405612999281734,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50081,-193.4949004523834,250,false,0.40810949990779871,4.7139496857256287,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50082,-110.38434104798773,169,true,0.049260587047019952,2.8763476397848673,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50083,-189.92584489013288,250,false,0.15200173554219837,6.8736260051054714,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50084,-601.25924781848278,250,false,1.7981299801974744,2.4924278681718968,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50085,-279.68029133096854,250,false,0.51013580735129982,5.3878695485102774,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50086,-371.10184679713666,250,false,0.52508761584662955,9.9632698227983454,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50087,-327.26863806926707,250,false,0.22264497149985754,1.929787975309633,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50088,-384.3643151026377,250,false,1.2113956289474761,4.1095398061995096,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50089,-187.63850868088511,250,false,0.44506742868026239,5.591614019010211,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50090,-427.61492134534069,250,false,0.44527624994237508,4.0852411741324159,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50091,-301.2680245090549,250,false,0.49578764009302195,6.003597752961463,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50092,-341.60569684274316,250,false,1.0787147383075637,6.8990915649021529,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50093,-458.79742525483357,250,false,1.2052955877660974,10.268485628517707,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50094,-257.69746910369111,250,false,0.60878681939078838,1.7805694034295767,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50095,-189.70638532126105,250,false,0.21921574433112803,2.1594250050091359,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50096,-526.68810726030063,250,false,1.0281921688472966,3.0833096428440339,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50097,-328.37843591449632,250,false,1.1483805472187476,8.4063949609593109,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50098,-135.06311661057256,51,false,1.7047862411424808,10.521843186930626,40,false
safety,A6c,3,ood_compound,A6c_train_seed_3,50099,-365.20090569627024,250,false,1.3590845894559505,9.546667764472307,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50000,-363.58422191579285,250,false,1.1656612618813864,6.1527269019181006,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50001,-228.85262446561475,250,false,0.24223802052541632,4.9949328044469103,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50002,-452.60306878740585,250,false,1.5285612521284528,6.8059173472297232,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50003,-195.98324145867838,56,false,3.1578730878226029,10.226801366870541,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50004,-483.38105709749618,250,false,0.830164923149738,5.2766730370350814,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50005,-239.21127104928462,250,false,0.45982639750168181,4.75485868137641,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50006,-270.33799387898227,250,false,0.15058296258417606,2.8389434918888012,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50007,-176.86692285648783,60,false,2.946134068102126,11.709038703220074,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50008,-319.0789696326878,250,false,0.92826643579407109,8.9059979963123048,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50009,-416.86977631815796,250,false,0.17175749852362873,3.065597716978461,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50010,-270.51882080819547,250,false,0.27871773054568194,3.4493609456625403,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50011,-275.37025726038229,250,false,0.83128856126425599,6.7469886304772109,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50012,-290.75273806506999,221,true,0.044870312603281608,2.5294516950307249,38.913230895996094,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50013,-962.39502032663052,250,false,3.3706817159460645,2.337328496348984,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50014,-317.12565733867842,250,false,0.98194218543066392,6.2203321045409599,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50015,-371.15930900466464,250,false,0.20785531157194173,3.5607870477038759,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50016,-504.76392082574586,250,false,0.66199072058845954,1.7266055770341384,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50017,-322.83818231262893,250,false,0.98654204968577519,8.357583250267183,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50018,-531.57945848473162,250,false,0.87027664070946575,6.2389166689185194,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50019,-798.00283160893844,250,false,2.8003289035994881,0.97388799335648724,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50020,-467.24603424608199,250,false,1.6667551022411753,1.2798107404182679,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50021,-435.9255205315331,250,false,1.1992207764338891,2.214473194371581,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50022,-350.4042016377108,250,false,0.54387941158959774,3.3077073736121174,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50023,-193.03222206300217,250,false,0.13198598514409726,6.9041967362334562,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50024,-321.64999165860138,250,false,0.8343563714093184,3.3984614760060383,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50025,-190.41211819535835,250,false,0.21201143571879758,9.5590237090651105,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50026,-407.80244657594341,250,false,1.4683107637867603,8.3728141987327369,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50027,-196.14286016851744,250,false,0.26899076270693734,4.9503069322824267,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50028,-334.52755580335594,250,false,0.20619702346921703,5.8105144215471585,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50029,-709.55605109941189,250,false,1.5322241514268689,2.6713072500415236,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50030,-191.13686416435849,250,false,0.24240390034433495,6.5581407658760789,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50031,-215.4044954871859,250,false,0.14916103487234411,5.7070424735230825,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50032,-328.10808925351546,250,false,0.53683001400484121,2.6800872880481648,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50033,-403.2377600904627,250,false,1.3819359351076037,2.5943597633086961,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50034,-479.51608171904678,250,false,1.6392490751641873,4.8303830320347645,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50035,-425.682273793658,250,false,1.3683471444339128,5.6889813281656005,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50036,-587.24560750567116,250,false,2.2708927192436854,1.5049600204352622,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50037,-611.78161277586457,250,false,2.28743362826205,1.1382553920178597,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50038,-273.08271124363995,250,false,0.56322310030559297,6.8229808388894462,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50039,-514.4481040029691,250,false,1.946130440988789,1.458229211248776,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50040,-243.39171691140388,250,false,0.70366906624803238,6.0191196429261042,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50041,-246.76003595578064,226,true,0.048844220277915767,2.9860210610134024,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50042,-327.36494486907043,250,false,1.0377763821250965,4.8983637734894137,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50043,-368.0734683975507,250,false,1.1439532589043662,1.1156860216387774,40,false
safety,A6c_gate_off_control,3,ood_compound,A6c_gate_off_control_train_seed_3,50044,-676.18535516098825,250,false,2.637827815436125,0.93686953848031318,40,false
