arm,scenario,seed,origin,plant,outcome,steps,final_distance,reward,max_speed,max_command_torque,fault_seen,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,model_fallbacks,prediction_fallbacks,model_fallback_steps,control_steps,selected_time_constant,true_time_constant,true_armature,residual_rms,obstacle_present,obstacle_violation_max_m,obstacle_contact,obstacle_contact_steps,obstacle_contact_geoms,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,first_unsafe_step,prediction_error_rms_joint1,prediction_error_rms_joint2
adaptive_hocbf,id_reference,52218,official,mujoco,success,88,0.04757108367328457,-108.88631294937686,6.394830819687817,40.0,False,True,False,0.0,False,0.5227272727272727,1,1,41,0,0,0,88,0.03,0.03202280726996416,0.07173024723830353,,False,0.0,False,0,(),0.0,0.0,-1,8.287175953971614,1.7955009489321103
fixed_hocbf,id_reference,52219,official,mujoco,timeout,250,0.10517247422034524,-68.45778951539035,3.3093478516836727,40.0,False,False,False,0.0,False,0.008,1,,,0,0,0,0,,0.011633379696821012,0.0755072830947975,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52219,official,mujoco,success,52,0.04642160088223484,-30.905973240083426,4.349500492865058,40.0,False,True,False,0.0,False,0.11538461538461539,1,1,20,0,0,0,52,0.01,0.011633379696821012,0.0755072830947975,,False,0.0,False,0,(),0.0,0.0,-1,0.3029919543944806,1.2283970709607699
fixed_hocbf,id_reference,52220,official,mujoco,timeout,250,0.6542398836564287,-281.4996986510684,3.060149344640033,40.0,False,False,True,0.0496639355169579,False,0.228,0,,,0,0,0,0,,0.04513551108861321,0.020794338251087712,,False,0.0,False,0,(),0.1514750033267216,0.0,105,,
adaptive_hocbf,id_reference,52220,official,mujoco,success,68,0.0490456620912845,-84.81288005564376,5.144227406518924,40.0,False,True,False,0.0,False,0.38235294117647056,0,0,23,0,0,0,68,0.06,0.04513551108861321,0.020794338251087712,,False,0.0,False,0,(),0.0,0.0,-1,10.37031095627811,2.5434261175797626
fixed_hocbf,id_reference,52221,official,mujoco,timeout,250,0.0826407805396077,-110.54979918737115,5.762909972152294,40.0,False,False,False,0.0,False,0.12,1,,,0,0,0,0,,0.049362419529051876,0.05591123038313872,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52221,official,mujoco,success,56,0.049527610989368684,-69.37706181901947,5.489292779056327,40.0,False,True,False,0.0,False,0.5357142857142857,1,1,8,0,0,0,56,0.06,0.049362419529051876,0.05591123038313872,,False,0.0,False,0,(),0.0,0.0,-1,1.296236289675749,1.4871059378871474
fixed_hocbf,id_reference,52222,official,mujoco,success,66,0.04868235333652714,-54.86976447808692,4.93744583926482,40.0,False,True,False,0.0,False,0.36363636363636365,1,,,0,0,0,0,,0.027912190516673915,0.05586174263829331,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52222,official,mujoco,success,61,0.048003078613702885,-53.04576356358868,5.7342577704499735,40.0,False,True,False,0.0,False,0.3442622950819672,1,1,7,0,0,0,61,0.03,0.027912190516673915,0.05586174263829331,,False,0.0,False,0,(),0.0,0.0,-1,3.2519301672326972,1.4053565071090364
fixed_hocbf,id_reference,52223,official,mujoco,timeout,250,0.5046579518783989,-205.02620714196328,5.297131779167911,40.0,False,False,False,0.0,False,0.164,2,,,0,0,0,0,,0.021200198287057638,0.04690565112367222,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52223,official,mujoco,success,69,0.04862095147938227,-69.00255926985596,5.992846203428731,40.0,False,True,False,0.0,False,0.4927536231884058,2,2,5,0,0,0,69,0.03,0.021200198287057638,0.04690565112367222,,False,0.0,False,0,(),0.0,0.0,-1,2.354965503180434,0.8293280687283734
fixed_hocbf,id_reference,52224,official,mujoco,timeout,250,0.22735381635001428,-112.56810690348037,4.891730346548452,40.0,False,False,False,0.0,False,0.084,2,,,0,0,0,0,,0.03296021756699497,0.06909764568657009,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52224,official,mujoco,success,59,0.04664658175366166,-45.79747034787932,4.800190124543757,40.0,False,True,False,0.0,False,0.3389830508474576,2,2,5,0,0,0,59,0.03,0.03296021756699497,0.06909764568657009,,False,0.0,False,0,(),0.0,0.0,-1,1.0341126451847693,1.1466350502206735
fixed_hocbf,id_reference,52225,official,mujoco,timeout,250,0.2778505152420965,-277.79398692170315,7.6597795422709485,40.0,False,False,True,0.09425422032442121,False,1.0,2,,,0,0,0,0,,0.018559621973388882,0.03253571334906527,,False,0.0,False,0,(),0.060666523741382594,0.6597795422709485,33,,
