pairing,filtered,reference,training_seed,scenario,metric,difference,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,bootstrap_samples
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,motor_fault,unsafe_episode_rate,-0.6,-0.69,-0.5,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,motor_fault,unsafe_state_fraction,-0.11576967661868831,-0.16427450870832602,-0.07107590344081408,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,motor_fault,normalized_violation_integral,-0.14370222457713375,-0.22503404028394944,-0.07722451026872765,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,motor_fault,joint_position_violation_max_rad,-0.1870739105462598,-0.30059479102230857,-0.09595337708955747,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,3,motor_fault,joint_velocity_violation_max_rad_s,-3.062084706645935,-3.705647858794558,-2.4204298992374027,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,id_reference,success_rate,-0.03,-0.1,0.04,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,id_reference,unsafe_episode_rate,-0.66,-0.75,-0.57,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,id_reference,unsafe_state_fraction,-0.17939818616321926,-0.23675129454996913,-0.12690157535196225,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,id_reference,normalized_violation_integral,-0.14387334307983501,-0.21195596363365451,-0.08837471889832017,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,id_reference,joint_position_violation_max_rad,-0.17858496010088212,-0.2520828003402061,-0.11287323871397532,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,id_reference,joint_velocity_violation_max_rad_s,-2.9491156952145796,-3.53237210946984,-2.3793609889511194,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,ood_compound,success_rate,-0.06,-0.12,-0.01,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,ood_compound,unsafe_episode_rate,-0.48,-0.59,-0.37,10000
