condition,training_seed,scenario,episodes,successes,success_rate,success_ci95_low,success_ci95_high,unsafe_episodes,unsafe_episode_rate,unsafe_episode_ci95_low,unsafe_episode_ci95_high,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_entry_count,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_integral_mean,normalized_violation_integral_max,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible_episodes,safety_infeasible_rate,safety_infeasible_ci95_low,safety_infeasible_ci95_high,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_exposure_rate
A5_hocbf,3,ood_compound,100,4,0.04,0.01566330399154762,0.0983707143588792,17,0.17,0.10893566114059931,0.25548004767601123,24095,144,0.005976343639759286,20,0.6678660378588841,4.345847280732585,0.003791740768420435,0.10413266809310981,23998,19302,0.8043170264188683,-455.221804427047,-1.4210854715202004e-13,True,3,0.03,0.010254524024038925,0.0845193642905276,19299,0.8041920160013335,9.59813133013545,47.99604341174493,0.0
A6_prefilter,3,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,75,0.75,0.656955364519384,0.8245478863771232,25100,5197,0.20705179282868527,164,18.064602455738623,22.381420959489816,0.30475617253547754,8.104538882364656,25000,10691,0.42764,-1426.809464502072,-1418.830546667526,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,3,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,28,0.28,0.20139685211186212,0.3748802870992116,24300,718,0.029547325102880658,31,1.0303758861529033,4.187206104079916,0.013793611276590628,0.33479438599279365,24204,14928,0.616757560733763,-517.3334794160575,-5.684341886080802e-14,True,4,0.04,0.01566330399154762,0.0983707143588792,14924,0.6165922987935878,6.209970443604055,49.889216026854456,0.0
A2_unfiltered,3,motor_fault,100,21,0.21,0.141656540619153,0.29979968834089865,81,0.81,0.7222115462093562,0.8748524849023126,21272,3159,0.14850507709665287,134,3.7903953259286833,13.386031663589492,0.1576814690119302,2.398796586753374,21172,7886,0.37247307764972604,-1031.2326085285017,-1036.686646617536,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A5_hocbf,3,motor_fault,100,18,0.18,0.1170022549894635,0.2666735838630073,21,0.21,0.141656540619153,0.29979968834089865,21368,913,0.04272744290527892,26,1.3595751852484943,3.6327758018007064,0.01397924443479644,0.8947336501767416,21271,11384,0.535188754642471,-460.1175242352868,-9.947598300641403e-14,True,3,0.03,0.010254524024038925,0.0845193642905276,11381,0.5350477175497156,4.985194577512051,41.44216032913498,1.0
A6_prefilter,3,motor_fault,100,4,0.04,0.01566330399154762,0.0983707143588792,73,0.73,0.6356788323205499,0.8073041585042365,24398,5923,0.2427658004754488,134,6.374378888752465,14.416008588309737,0.3146068787887444,7.914369633273605,24298,7864,0.323648036875463,-1132.4416391166906,-1132.4416391166906,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A6_hocbf,3,motor_fault,100,3,0.03,0.010254524024038925,0.0845193642905276,29,0.29,0.2101483574912227,0.3853889117557111,23974,1482,0.06181696838241428,36,1.3719963021072576,4.216015779508801,0.029149768529658095,0.9372936071569337,23877,8932,0.3740838463793609,-629.4327579712053,-5.684341886080802e-14,True,3,0.03,0.010254524024038925,0.0845193642905276,8929,0.37395820245424466,2.6619024937091034,61.12719142207573,1.0
A2_unfiltered,4,id_reference,100,39,0.39,0.3001687400639441,0.4879698295415926,68,0.68,0.5833738138954762,0.7633085267500092,17877,3146,0.17598030989539631,122,1.5933126466763259,12.877170709916864,0.14397614562669647,1.7782807503938125,17777,5677,0.31934522135343424,-1053.9831773486192,-1053.9831773486192,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,4,id_reference,100,36,0.36,0.2727122040140433,0.4576459754839126,2,0.02,0.00550196755016235,0.07001179072854388,18711,6,0.000320666987333654,2,0.0,1.135055803314355,0.00010280254686144223,0.007696812133220816,18612,6984,0.37524177949709864,-385.7960524126414,-8.526512829121202e-14,True,1,0.01,0.0017674320641406505,0.054486196178705315,6983,0.37518805071996564,3.3872865312687614,33.40591860186759,0.0
A6_prefilter,4,id_reference,100,14,0.14,0.08526343659939134,0.22137188210963837,64,0.64,0.5423540245160874,0.7272877959859567,22400,3658,0.16330357142857144,116,1.6401108625560825,12.083799152513375,0.1891718407147969,2.0674809439452444,22300,4795,0.21502242152466366,-894.4188895311327,-896.7104304011614,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,4,id_reference,100,13,0.13,0.07757167427240512,0.20980351440076428,8,0.08,0.041093461484380624,0.14998107700948735,22161,114,0.005144172194395559,8,0.20992050102482596,4.111320501735506,0.0009773476689441472,0.023180062441836135,22063,4202,0.19045460726102525,-350.71922254494353,-4.263256414560601e-14,True,2,0.02,0.00550196755016235,0.07001179072854388,4200,0.19036395775733128,1.4320522389708,29.028193759937995,0.0
A2_unfiltered,4,ood_compound,100,8,0.08,0.041093461484380624,0.14998107700948735,65,0.65,0.5525444329688796,0.7363575175690247,24053,3444,0.14318380243628653,134,11.482026618369531,24.18883466470095,0.18240064002516854,3.4686889439041266,23953,13606,0.5680290569031019,-1929.3802587132498,-1842.2520951630117,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A5_hocbf,4,ood_compound,100,2,0.02,0.00550196755016235,0.07001179072854388,17,0.17,0.10893566114059931,0.25548004767601123,24058,255,0.01059938482001829,20,0.18233652311002002,4.566298017938459,0.0027675482751673146,0.05764783261960301,23962,19194,0.8010182789416577,-535.2275249050173,-1.3500311979441904e-13,True,4,0.04,0.01566330399154762,0.0983707143588792,19190,0.8008513479676154,8.96063950454822,47.71100837614689,0.0
A6_prefilter,4,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,76,0.76,0.6676766365018553,0.8330867444305122,25100,5163,0.20569721115537848,164,18.170687063748073,21.74827166089235,0.32032612553037537,8.146608094412047,25000,10738,0.42952,-1495.9278353174006,-1497.978204456717,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,0.0
A6_hocbf,4,ood_compound,100,0,0.0,3.469446951953614e-18,0.03699349820698568,27,0.27,0.1926958414957634,0.36432116767944994,24300,733,0.03016460905349794,30,1.0541974561817131,3.6962585397436705,0.01438901371057952,0.3349080308473849,24204,15121,0.6247314493472154,-489.3249268800921,-8.526512829121202e-14,True,4,0.04,0.01566330399154762,0.0983707143588792,15117,0.6245661874070402,6.051780107714617,46.46177070100731,0.0
A2_unfiltered,4,motor_fault,100,23,0.23,0.15843265880303448,0.3215438302287378,73,0.73,0.6356788323205499,0.8073041585042365,20767,3774,0.18173063032696105,128,1.765715966864911,12.03751168194185,0.15933557400245535,1.8644208305091639,20667,8189,0.39623554458799054,-923.6044180302632,-956.0283300958529,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A5_hocbf,4,motor_fault,100,15,0.15,0.0930598528365663,0.23283559590832364,21,0.21,0.141656540619153,0.29979968834089865,21789,1295,0.059433659185827714,29,1.4099457942721827,4.100120637413685,0.02308443259472278,1.0367238229511775,21692,12095,0.557578830905403,-417.3196985431131,-8.526512829121202e-14,True,3,0.03,0.010254524024038925,0.0845193642905276,12092,0.5574405310713627,5.028002474374803,53.62387753659272,1.0
A6_prefilter,4,motor_fault,100,3,0.03,0.010254524024038925,0.0845193642905276,71,0.71,0.6146110882442888,0.7898516425087772,24568,5655,0.23017746662324975,134,2.4408215880964654,14.485511156564833,0.23542516064343355,2.578972023988917,24468,7931,0.3241376491744319,-1101.1160931305176,-1104.517357728297,False,0,0.0,3.469446951953614e-18,0.03699349820698568,0,0.0,0.0,0.0,1.0
A6_hocbf,4,motor_fault,100,3,0.03,0.010254524024038925,0.0845193642905276,27,0.27,0.1926958414957634,0.36432116767944994,23961,1491,0.06222611744084137,37,1.372570453713208,4.58650610811088,0.029320643836269363,0.9450778377986743,23864,9200,0.3855179349648005,-630.5286235783551,-5.684341886080802e-14,True,3,0.03,0.010254524024038925,0.0845193642905276,9197,0.3853922225947033,2.650916040865885,59.18883852076702,1.0
